Attack_category,Attack subcategory,Protocol,Source IP,Source Port,Destination IP,Destination Port,Attack_Name,Attack Reference,.,Time
Exploits,Clientside,tcp,175.45.176.0,30003,149.171.126.14,143,Microsoft Office Text Converter Integer Underflow Code Execution (IMAP4 Corrupt Quoted Printable) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/ms09_010_int_underflow_corrupt_imap4_download_quoted_printable.xml),CVE 2009-0087 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2009%2d0087)MSB MS09-010 (http://www.microsoft.com/technet/security/bulletin/MS09%2d010.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927432-1421927433
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,175.45.176.1,47096,149.171.126.16,111,SunRPC TCP Portmapper GETPORT Request (schedv3/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_tcp/sched_v3_tcp.xml),-,.,1421927433-1421927434
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,175.45.176.3,9002,149.171.126.19,111,SunRPC TCP Portmapper GETPORT Request (x25_inrv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/x25_inr_v3_udp.xml),-,.,1421927434-1421927435
DoS,Browser,tcp,175.45.176.1,12940,149.171.126.16,80,Mozilla Firefox OBJECT Tag Crafted Style Null Dereference (https://strikecenter.bpointsys.com/bps/strikes/denial/browser/firefox_display_moz_deck_null_deref.xml),CVE 2007-3734 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2007%2d3734)BID 24946 (http://www.securityfocus.com/bid/24946)OSVDB 38000 (http://www.osvdb.org/38000)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927435-1421927435
Exploits,Browser,tcp,175.45.176.3,26334,149.171.126.16,80,Microsoft Internet Explorer Information Disclosure (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/cve_2012_0012.xml),CVE 2012-0012 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2012%2d0012)MSB MS12-010 (http://www.microsoft.com/technet/security/bulletin/MS12%2d010.mspx)BID 51932 (http://www.securityfocus.com/bid/51932)OSVDB 79267 (http://www.osvdb.org/79267)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/4.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aP%2fI%3aN%2fA%3aN%29),.,1421927436-1421927436
Exploits,Browser,tcp,175.45.176.3,31149,149.171.126.11,80,Internet Explorer Cached Objects Zone Bypass (getElementsByName) (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms02_066_cached_object_zone_bypass_06.xml),CVE 2002-1254 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2002%2d1254)MSB MS02-066 (http://www.microsoft.com/technet/security/bulletin/MS02%2d066.mspx)BID 6028 (http://www.securityfocus.com/bid/6028)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927438-1421927438
Exploits,Clientside,tcp,175.45.176.1,24289,149.171.126.19,25,Windows URI Handling Arbitrary Command Execution (SMTP Quoted Printable) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/ms07_061_uri_handling_smtp_attachment_quoted_printable.xml),CVE 2007-5020 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2007%2d5020)MSB MS07-061 (http://www.microsoft.com/technet/security/bulletin/MS07%2d061.mspx)BID 25748 (http://www.securityfocus.com/bid/25748)http://blogs.technet.com/msrc/archive/2007/10/10/msrc-blog-additional-details-and-background-on-security-advisory-94352.aspx (http%3a%2f%2fblogs.technet.com%2fmsrc%2farchive%2f2007%2f10%2f10%2fmsrc%2dblog%2dadditional%2ddetails%2dand%2dbackground%2don%2dsecurity%2dadvisory%2d94352.aspx)http://marc.info/?l=full-disclosure&m=119314200107244&w=2 (http%3a%2f%2fmarc.info%2f%3fl%3dfull%2ddisclosure%26m%3d119314200107244%26w%3d2)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927439-1421927440
Exploits,SMTP,tcp,175.45.176.0,43666,149.171.126.19,25,Sendmail headers.c Address Field Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/smtp/sendmail_address_header_overflow.xml),CVE 2002-1337 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2002%2d1337)BID 6991 (http://www.securityfocus.com/bid/6991)OSVDB 4502 (http://www.osvdb.org/4502)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927440-1421927441
Generic,SIP,udp,175.45.176.3,55249,149.171.126.10,5060,RFC 4475: SIP Torture Tests: Missing Required Header Fields (CSeq) (https://strikecenter.bpointsys.com/bps/strikes/generic/sip/rfc_4475_3_3_1_missing_header_field_cseq.xml),http://www.ietf.org/rfc/rfc4475.txt (http%3a%2f%2fwww.ietf.org%2frfc%2frfc4475.txt),.,1421927441-1421927441
Reconnaissance, SunRPC Portmapper (UDP) UDP Service ,UDP,175.45.176.0,36159,149.171.126.14,111,SunRPC UDP Portmapper GETPORT Request (statusv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/status_v3_udp.xml),-,.,1421927442-1421927442
Exploits,Browser,tcp,175.45.176.1,13377,149.171.126.12,80,Microsoft Internet Explorer Tabular Data ActiveX Control Stack Corruption (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms10_018_ie_tabular_activex.xml),CVE 2010-0805 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2010%2d0805)MSB MS10-018 (http://www.microsoft.com/technet/security/bulletin/MS10%2d018.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927443-1421927443
Exploits,Clientside,tcp,175.45.176.0,21990,149.171.126.13,80,Microsoft Office Insecure Library Loading (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/cve_2011_1980_ms_office_dll_hijacking.xml),CVE 2011-1980 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d1980)MSB MS11-073 (http://www.microsoft.com/technet/security/bulletin/MS11%2d073.mspx)BID 49519 (http://www.securityfocus.com/bid/49519)OSVDB 75379 (http://www.osvdb.org/75379)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927444-1421927447
Reconnaissance, SunRPC Portmapper (UDP) UDP Service ,udp,175.45.176.2,29442,149.171.126.19,111,SunRPC UDP Portmapper GETPORT Request (kerbdv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/kerbd_v3_udp.xml),-,.,1421927445-1421927445
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,175.45.176.3,46282,149.171.126.14,111,SunRPC TCP Portmapper GETPORT Request (swu_svrv2/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_tcp/swu_svr_v2_tcp.xml),-,.,1421927446-1421927447
Reconnaissance, SunRPC Portmapper (UDP) UDP Service ,udp,175.45.176.1,20549,149.171.126.10,111,SunRPC UDP Portmapper GETPORT Request (rpcbindv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/rpcbind_v3_udp.xml),-,.,1421927449-1421927449
Reconnaissance, SunRPC Portmapper (UDP) UDP Service ,udp,175.45.176.3,17410,149.171.126.14,111,SunRPC UDP Portmapper GETPORT Request (loggerv1/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/logger_v1_udp.xml),-,.,1421927449-1421927449
Exploits,Evasions,tcp,175.45.176.0,55659,149.171.126.12,25,CVE-2012-1438 malware evasion (malware) (https://strikecenter.bpointsys.com/bps/strikes/exploits/evasions/CVE-2012-1438_evasion_malware.xml),CVE 2012-1438 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2012%2d1438)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/4.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aN%2fI%3aP%2fA%3aN%29),.,1421927449-1421927450
Exploits,Miscellaneous Batch,tcp,175.45.176.3,7177,149.171.126.16,80,Microsoft Internet Printing Service Integer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/ms08_062_ipp_integer_overflow.xml),CVE 2008-1446 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d1446)MSB MS08-062 (http://www.microsoft.com/technet/security/bulletin/MS08%2d062.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.0%20%28AV%3aN%2fAC%3aL%2fAu%3aS%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927450-1421927450
Exploits,Evasions,tcp,175.45.176.0,56253,149.171.126.12,25,CVE-2012-1438 malware evasion (malware) (https://strikecenter.bpointsys.com/bps/strikes/exploits/evasions/CVE-2012-1438_evasion_malware.xml),CVE 2012-1438 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2012%2d1438)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/4.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aN%2fI%3aP%2fA%3aN%29),.,1421927450-1421927451
Exploits,Miscellaneous Batch,tcp,175.45.176.3,42254,149.171.126.16,445,Microsoft Internet Printing Service Integer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/ms08_062_ipp_integer_overflow.xml),CVE 2008-1446 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d1446)MSB MS08-062 (http://www.microsoft.com/technet/security/bulletin/MS08%2d062.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.0%20%28AV%3aN%2fAC%3aL%2fAu%3aS%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927450-1421927452
Exploits,Office Document,tcp,175.45.176.2,21424,149.171.126.14,25,Microsoft Works RTF File Conversion Buffer Overflow (SMTP UUEncode) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms08_011_wps_converter_smtp_attachment_uuencode.xml),CVE 2008-0108 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d0108)MSB MS08-011 (http://www.microsoft.com/technet/security/bulletin/MS08%2d011.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927451-1421927452
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,175.45.176.1,61099,149.171.126.17,111,SunRPC TCP Portmapper GETPORT Request (remote_dbxv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/remote_dbx_v3_udp.xml),-,.,1421927452-1421927453
Exploits,Miscellaneous Batch,tcp,175.45.176.1,15810,149.171.126.13,80,HP OpenView Network Node Manager MaxAge Parameter Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2010_1553.xml),CVE 2010-1553 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2010%2d1553)BID 40070 (http://www.securityfocus.com/bid/40070)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927453-1421927453
Exploits,SCADA,tcp,175.45.176.3,53973,149.171.126.19,46823,Sielco Sistemi Winlog Server Stack Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/scada/cve_2011_0517_sielco_sistemi_winlog_bo.xml),CVE 2011-0517 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d0517)BID 45813 (http://www.securityfocus.com/bid/45813)OSVDB 70418 (http://www.osvdb.org/70418)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927454-1421927454
Generic, IXIA,tcp,175.45.176.2,15985,149.171.126.17,80,Apple_QuickTime_udta_Atom_Buffer_Overflow_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/apple_quicktime_udta_atom_buffer_overflow_attack.xml),CVE 2006-1460 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d1460)BID 17953 (http://www.securityfocus.com/bid/17953)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927455-1421927456
DoS,Miscellaneous,tcp,175.45.176.0,14324,149.171.126.13,502,Tri PLC Nano 10 PLC Denial of Service (https://strikecenter.bpointsys.com/bps/strikes/denial/misc/cve_2013_2784_tri_PLC_nano10_dos.xml),CVE 2013-2784 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2013%2d2784)OSVDB 94940 (http://www.osvdb.org/94940)http://ics-cert.us-cert.gov/advisories/ICSA-13-189-02 (http%3a%2f%2fics%2dcert.us%2dcert.gov%2fadvisories%2fICSA%2d13%2d189%2d02)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927456-1421927456
Exploits,Office Document,tcp,175.45.176.1,50185,149.171.126.16,110,Microsoft Word RTF Object Parsing Vulnerability (POP3 Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms08_072_rtf_do_pop3_download_base64.xml),CVE 2008-4027 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d4027)MSB MS08-072 (http://www.microsoft.com/technet/security/bulletin/MS08%2d072.mspx)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927457-1421927458
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,175.45.176.1,59988,149.171.126.15,111,SunRPC UDP Portmapper GETPORT Request (iostat2v3/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/iostat2_v3_tcp.xml),-,.,1421927458-1421927458
Reconnaissance, SunRPC Portmapper (UDP) UDP Service ,udp,175.45.176.3,13692,149.171.126.15,111,SunRPC UDP Portmapper GETPORT Request (rusersdv1/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/rusersd_v1_udp.xml),-,.,1421927459-1421927459
